"NDB_No","Shrt_Desc","Water_(g)","Energ_Kcal","Protein_(g)","Lipid_Tot_(g)","Ash_(g)","Carbohydrt_(g)","Fiber_TD_(g)","Sugar_Tot_(g)","Calcium_(mg)","Iron_(mg)","Magnesium_(mg)","Phosphorus_(mg)","Potassium_(mg)","Sodium_(mg)","Zinc_(mg)","Copper_(mg)","Manganese_(mg)","Selenium_(µg)","Vit_C_(mg)","Thiamin_(mg)","Riboflavin_(mg)","Niacin_(mg)","Panto_Acid_mg)","Vit_B6_(mg)","Folate_Tot_(µg)","Folic_Acid_(µg)","Food_Folate_(µg)","Folate_DFE_(µg)","Choline_Tot_ (mg)","Vit_B12_(µg)","Vit_A_IU","Vit_A_RAE","Retinol_(µg)","Alpha_Carot_(µg)","Beta_Carot_(µg)","Beta_Crypt_(µg)","Lycopene_(µg)","Lut+Zea_ (µg)","Vit_E_(mg)","Vit_D_(µg)","Vit_D_(IU)","Vit_K_(µg)","FA_Sat_(g)","FA_Mono_(g)","FA_Poly_(g)","Cholestrl_(mg)","GmWt_1","GmWt_Desc1","GmWt_2","GmWt_Desc2","Refuse_Pct","CnCaption","CnType"
"11457","SPINACH,RAW","91.4","23.0","2.86","0.39","1.72","3.63","2.2","0.42","99.0","2.71","79.0","49.0","558.0","79.0","0.53","0.13","0.897","1.0","28.1","0.078","0.189","0.724","0.065","0.195","194.0","0.0","194.0","194.0","19.3","0.0","9377.0","469.0","0.0","0.0","5626.0","0.0","0.0","12198.0","2.03","0.0","0.0","482.9","0.063","0.01","0.165","0.0","30.0","1 cup","340.0","1 bunch","28.0","菠菜","蔬菜"
"11601","YAM,RAW","69.6","118.0","1.53","0.17","0.82","27.88","4.1","0.5","17.0","0.54","21.0","55.0","816.0","9.0","0.24","0.178","0.397","0.7","17.1","0.112","0.032","0.552","0.314","0.293","23.0","0.0","23.0","23.0","16.5","0.0","138.0","7.0","0.0","0.0","83.0","0.0","0.0","0.0","0.35","0.0","0.0","2.3","0.037","0.006","0.076","0.0","150.0","1 cup, cubes","0.0","0.0","14.0","地瓜","蔬菜"
"11695","TOMATOES,ORANGE,RAW","94.78","16.0","1.16","0.19","0.69","3.18","0.9","0.0","5.0","0.47","8.0","29.0","212.0","42.0","0.14","0.062","0.088","0.4","16.0","0.046","0.034","0.593","0.186","0.06","29.0","0.0","29.0","29.0","0.0","0.0","1496.0","75.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.025","0.028","0.076","0.0","158.0","1 cup, chopped","111.0","1 tomato","9.0","西红柿","蔬菜"
"11979","PEPPERS,JALAPENO,RAW","91.69","29.0","0.91","0.37","0.53","6.5","2.8","4.12","12.0","0.25","15.0","26.0","248.0","3.0","0.14","0.046","0.097","0.4","118.6","0.04","0.07","1.28","0.315","0.419","27.0","0.0","27.0","27.0","7.5","0.0","1078.0","54.0","0.0","67.0","561.0","105.0","0.0","861.0","3.58","0.0","0.0","18.5","0.092","0.029","0.112","0.0","90.0","1 cup, sliced","14.0","1 pepper","8.0","尖椒","蔬菜"
"12036","SUNFLOWER SD KRNLS,DRIED","4.73","584.0","20.78","51.46","3.02","20.0","8.6","2.62","78.0","5.25","325.0","660.0","645.0","9.0","5.0","1.8","1.95","53.0","1.4","1.48","0.355","8.335","1.13","1.345","227.0","0.0","227.0","227.0","55.1","0.0","50.0","3.0","0.0","0.0","30.0","0.0","0.0","0.0","35.17","0.0","0.0","0.0","4.455","18.528","23.137","0.0","46.0","1 cup, with hulls edible yield","140.0","1 cup","46.0","瓜子","干果"
"12061","ALMONDS","4.7","575.0","21.22","49.42","2.99","21.67","12.2","3.89","264.0","3.72","268.0","484.0","705.0","1.0","3.08","0.996","2.285","2.5","0.0","0.211","1.014","3.385","0.469","0.143","50.0","0.0","50.0","50.0","52.1","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","26.22","0.0","0.0","0.0","3.731","30.889","12.07","0.0","95.0","1 cup, ground","92.0","1 cup, sliced","60.0","杏仁","干果"
"12087","NUTS,CASHEW NUTS,RAW","5.2","553.0","18.22","43.85","2.54","30.19","3.3","5.91","37.0","6.68","292.0","593.0","660.0","12.0","5.78","2.195","1.655","19.9","0.5","0.423","0.058","1.062","0.864","0.417","25.0","0.0","25.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.0","0.9","0.0","0.0","34.1","7.783","23.797","7.845","0.0","28.35","1 oz","0.0","0.0","0.0","腰果","干果"
"12096","CHESTNUTS,CHINESE,ROASTED","40.2","239.0","4.48","1.19","1.78","52.36","0.0","0.0","19.0","1.5","90.0","102.0","477.0","4.0","0.93","0.387","1.708","0.0","38.4","0.15","0.09","1.5","0.592","0.437","72.0","0.0","72.0","72.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.175","0.62","0.307","0.0","28.35","1 oz","0.0","0.0","25.0","板栗","干果"
"12151","PISTACHIO NUTS,RAW","3.91","562.0","20.27","45.39","2.91","27.51","10.3","7.66","105.0","3.92","121.0","490.0","1025.0","1.0","2.2","1.3","1.2","7.0","5.6","0.87","0.16","1.3","0.52","1.7","51.0","0.0","51.0","51.0","0.0","0.0","415.0","21.0","0.0","0.0","249.0","0.0","0.0","1405.0","2.3","0.0","0.0","0.0","5.556","23.82","13.744","0.0","123.0","1 cup","28.35","1 oz,  (49 kernels)","47.0","开心果","干果"
"12154","WALNUTS,BLACK,DRIED","4.56","618.0","24.06","59.0","2.47","9.91","6.8","1.1","61.0","3.12","201.0","513.0","523.0","2.0","3.37","1.36","3.896","17.0","1.7","0.057","0.13","0.47","1.66","0.583","31.0","0.0","31.0","31.0","32.1","0.0","40.0","2.0","0.0","0.0","24.0","0.0","0.0","9.0","1.8","0.0","0.0","2.7","3.368","15.004","35.077","0.0","125.0","1 cup, chopped","7.8","1 tbsp","76.0","核桃","干果"
